Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Clark Harris (10982379),Clark Harris,10982379,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0
TE,Ryan Hewitt (10982381),Ryan Hewitt,10982381,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0.32
TE,Mason Schreck (10982383),Mason Schreck,10982383,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,CIN,0
TE,Mo Alie-Cox (10982385),Mo Alie-Cox,10982385,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,IND,0
TE,Ross Travis (10982387),Ross Travis,10982387,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,IND,0.97
TE,Darrell Daniels (10982389),Darrell Daniels,10982389,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,IND,0.47
TE,Erik Swoope (10982391),Erik Swoope,10982391,TE/FLEX,2500,CIN@IND 09/09/2018 01:00PM ET,IND,0
TE,Devon Cajuste (10982393),Devon Cajuste,10982393,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,CLE,0
TE,Darren Fells (10982395),Darren Fells,10982395,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,CLE,3.29
TE,Julian Allen (10982397),Julian Allen,10982397,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,CLE,0
TE,Ryan Malleck (10982399),Ryan Malleck,10982399,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,PIT,0.65
TE,Pharoah McKever (10982401),Pharoah McKever,10982401,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,PIT,0
TE,Xavier Grimble (10982403),Xavier Grimble,10982403,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,PIT,0.89
TE,Christian Scotland-Williamson (10982405),Christian Scotland-Williamson,10982405,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,PIT,0
TE,Orson Charles (11182479),Orson Charles,11182479,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,CLE,1.22
TE,Bucky Hodges (11182493),Bucky Hodges,11182493,TE/FLEX,2500,PIT@CLE 09/09/2018 01:00PM ET,PIT,0
